Repeat,mRate,EPC_MorseA,TempNoise,RunID,TrialName
R_88,1e-7,0.9,0.5,ID_388,A_Test
R_89,1e-7,0.9,0.5,ID_389,A_Test
R_90,1e-7,0.9,0.5,ID_390,A_Test
R_91,1e-7,0.9,0.5,ID_391,A_Test
R_92,1e-7,0.9,0.5,ID_392,A_Test
R_93,1e-7,0.9,0.5,ID_393,A_Test
R_94,1e-7,0.9,0.5,ID_394,A_Test
R_95,1e-7,0.9,0.5,ID_395,A_Test
R_96,1e-7,0.9,0.5,ID_396,A_Test
R_97,1e-7,0.9,0.5,ID_397,A_Test
R_98,1e-7,0.9,0.5,ID_398,A_Test
R_99,1e-7,0.9,0.5,ID_399,A_Test
R_100,1e-7,0.9,0.5,ID_400,A_Test
R_1,1e-7,0.7,0.5,ID_401,A_Test
R_2,1e-7,0.7,0.5,ID_402,A_Test
R_3,1e-7,0.7,0.5,ID_403,A_Test
R_4,1e-7,0.7,0.5,ID_404,A_Test
R_5,1e-7,0.7,0.5,ID_405,A_Test
R_6,1e-7,0.7,0.5,ID_406,A_Test
R_7,1e-7,0.7,0.5,ID_407,A_Test
R_8,1e-7,0.7,0.5,ID_408,A_Test
R_9,1e-7,0.7,0.5,ID_409,A_Test
R_10,1e-7,0.7,0.5,ID_410,A_Test
R_11,1e-7,0.7,0.5,ID_411,A_Test
R_12,1e-7,0.7,0.5,ID_412,A_Test
R_13,1e-7,0.7,0.5,ID_413,A_Test
R_14,1e-7,0.7,0.5,ID_414,A_Test
R_15,1e-7,0.7,0.5,ID_415,A_Test
R_16,1e-7,0.7,0.5,ID_416,A_Test
R_17,1e-7,0.7,0.5,ID_417,A_Test
R_18,1e-7,0.7,0.5,ID_418,A_Test
R_19,1e-7,0.7,0.5,ID_419,A_Test
R_20,1e-7,0.7,0.5,ID_420,A_Test
R_21,1e-7,0.7,0.5,ID_421,A_Test
R_22,1e-7,0.7,0.5,ID_422,A_Test
R_23,1e-7,0.7,0.5,ID_423,A_Test
R_24,1e-7,0.7,0.5,ID_424,A_Test
R_25,1e-7,0.7,0.5,ID_425,A_Test
R_26,1e-7,0.7,0.5,ID_426,A_Test
R_27,1e-7,0.7,0.5,ID_427,A_Test
R_28,1e-7,0.7,0.5,ID_428,A_Test
R_29,1e-7,0.7,0.5,ID_429,A_Test
R_30,1e-7,0.7,0.5,ID_430,A_Test
R_31,1e-7,0.7,0.5,ID_431,A_Test
R_32,1e-7,0.7,0.5,ID_432,A_Test
R_33,1e-7,0.7,0.5,ID_433,A_Test
R_34,1e-7,0.7,0.5,ID_434,A_Test
R_35,1e-7,0.7,0.5,ID_435,A_Test
R_36,1e-7,0.7,0.5,ID_436,A_Test
R_37,1e-7,0.7,0.5,ID_437,A_Test
R_38,1e-7,0.7,0.5,ID_438,A_Test
R_39,1e-7,0.7,0.5,ID_439,A_Test
R_40,1e-7,0.7,0.5,ID_440,A_Test
R_41,1e-7,0.7,0.5,ID_441,A_Test
R_42,1e-7,0.7,0.5,ID_442,A_Test
R_43,1e-7,0.7,0.5,ID_443,A_Test
R_44,1e-7,0.7,0.5,ID_444,A_Test
R_45,1e-7,0.7,0.5,ID_445,A_Test
R_46,1e-7,0.7,0.5,ID_446,A_Test
R_47,1e-7,0.7,0.5,ID_447,A_Test
R_48,1e-7,0.7,0.5,ID_448,A_Test
R_49,1e-7,0.7,0.5,ID_449,A_Test
R_50,1e-7,0.7,0.5,ID_450,A_Test
R_51,1e-7,0.7,0.5,ID_451,A_Test
R_52,1e-7,0.7,0.5,ID_452,A_Test
R_53,1e-7,0.7,0.5,ID_453,A_Test
R_54,1e-7,0.7,0.5,ID_454,A_Test
R_55,1e-7,0.7,0.5,ID_455,A_Test
R_56,1e-7,0.7,0.5,ID_456,A_Test
R_57,1e-7,0.7,0.5,ID_457,A_Test
R_58,1e-7,0.7,0.5,ID_458,A_Test
R_59,1e-7,0.7,0.5,ID_459,A_Test
R_60,1e-7,0.7,0.5,ID_460,A_Test
R_61,1e-7,0.7,0.5,ID_461,A_Test
R_62,1e-7,0.7,0.5,ID_462,A_Test
R_63,1e-7,0.7,0.5,ID_463,A_Test
R_64,1e-7,0.7,0.5,ID_464,A_Test
R_65,1e-7,0.7,0.5,ID_465,A_Test
R_66,1e-7,0.7,0.5,ID_466,A_Test
R_67,1e-7,0.7,0.5,ID_467,A_Test
R_68,1e-7,0.7,0.5,ID_468,A_Test
R_69,1e-7,0.7,0.5,ID_469,A_Test
R_70,1e-7,0.7,0.5,ID_470,A_Test
R_71,1e-7,0.7,0.5,ID_471,A_Test
R_72,1e-7,0.7,0.5,ID_472,A_Test
R_73,1e-7,0.7,0.5,ID_473,A_Test
R_74,1e-7,0.7,0.5,ID_474,A_Test
R_75,1e-7,0.7,0.5,ID_475,A_Test
R_76,1e-7,0.7,0.5,ID_476,A_Test
R_77,1e-7,0.7,0.5,ID_477,A_Test
R_78,1e-7,0.7,0.5,ID_478,A_Test
R_79,1e-7,0.7,0.5,ID_479,A_Test
R_80,1e-7,0.7,0.5,ID_480,A_Test
R_81,1e-7,0.7,0.5,ID_481,A_Test
R_82,1e-7,0.7,0.5,ID_482,A_Test
R_83,1e-7,0.7,0.5,ID_483,A_Test
R_84,1e-7,0.7,0.5,ID_484,A_Test
R_85,1e-7,0.7,0.5,ID_485,A_Test
R_86,1e-7,0.7,0.5,ID_486,A_Test
R_87,1e-7,0.7,0.5,ID_487,A_Test
R_88,1e-7,0.7,0.5,ID_488,A_Test
R_89,1e-7,0.7,0.5,ID_489,A_Test
R_90,1e-7,0.7,0.5,ID_490,A_Test
R_91,1e-7,0.7,0.5,ID_491,A_Test
R_92,1e-7,0.7,0.5,ID_492,A_Test
R_93,1e-7,0.7,0.5,ID_493,A_Test
R_94,1e-7,0.7,0.5,ID_494,A_Test
R_95,1e-7,0.7,0.5,ID_495,A_Test
R_96,1e-7,0.7,0.5,ID_496,A_Test
R_97,1e-7,0.7,0.5,ID_497,A_Test
R_98,1e-7,0.7,0.5,ID_498,A_Test
R_99,1e-7,0.7,0.5,ID_499,A_Test
R_100,1e-7,0.7,0.5,ID_500,A_Test
